sentence,prediction,wer_sample,cer_sample
Eşq şeirlərindən əlavə din və təsəvvüf ilə bağlı şeirləri də vardır.,Eşk şəhirlərindən ələvə din və təsəvüf ilə bağlı şeyləri də vardır.,0.45454545454545453,0.1044776119402985
Orta məktəbi bitirdikdən sonra Ukraynanın Lvov şəhərində hərbi xidmətdə olmuşdur.,Orta məktəbdə bitirdikdən sonra Ukraynanın Lubov şəhərində hərbi xidmətdə olmuşdur.,0.2,0.05
Hal hazırda Xəzər kanalında prodüser olaraq işinə davam edir.,Hal-hazırda Xəzər kanalında produsör olaraq işinə dəvam edir.,0.4444444444444444,0.06666666666666667
Təpə Antarktidada yerləşən Start burnunun adını daşıyır.,Təpə Antarktidada yerləşən start qurumunun adını taşıyır.,0.2857142857142857,0.07272727272727272
Lənkəran şəhərində dəfn olunub.,Lənkənan şəhərində dəfnə olub.,0.75,0.13333333333333333
Onların qalıqlarına Çin və Özbəkistan ərazilərində aşkarlanmışdır.,Onların qalqlarına cimrək özbək istənələzivərinlər şəhvəlini çıxdır.,0.8571428571428571,0.36923076923076925
Ətrafdakı ərazilərlə müqayisədə dumanlı və qar örtüyü olan günlərin sayı daha çoxdur.,Etrafdakı ərazilə ilə müqayisədə dumanlı və qar rüfi olan günlərin sayıq daha çoxdur.,0.4166666666666667,0.09523809523809523
Yeni Azərbaycan Partiyasının fəal üzvüdür.,Yeni Azərbaycan partiyasının fəal özüdür.,0.2,0.04878048780487805
Qədim alban tarixinin izləri bu ərazidə bir çox yerlərdə var.,Bədən albam tarixinin izləri xəzətə çox yerlərə var.,0.6,0.26666666666666666
Kəndin yerində müasir qəsəbənin inşası planlaşdırılırdı.,Kəndim yerində muasir qasəbanin inşası planləşdirilirdi.,0.6666666666666666,0.16363636363636364
Sakinlər tarixi abidələrə çox həssaslıqla yanaşırlar.,Təkinlər tarixi abidələrə çox həsəlsəq yanaşılır.,0.5,0.19230769230769232
Rusiyaya qayıtdıqdan sonra teatr və kino sahəsində çalışmışdır.,Rusiya qaytdaqdan sonra tiyatr vəkiyənin sahnesini çalışmışdız.,0.875,0.25806451612903225
Papanın xahişini qəbul edən Attila geri döndü.,Qabanın xayişliyini qəbul edən Atilla geri döndü.,0.42857142857142855,0.17777777777777778
İdman həyatı başa çatdıqdan sonra Torpe ailəsini saxlamaq üçün çalışmışdır.,İdman həyatı barət çatdıktan sonra Torpə ailesini saxmamak üçün çalışmışdır.,0.5,0.12162162162162163
Jurnalistlər hekayələrinin əyləncəli hala gəlməsinə səbəb olan müəyyən bir məsələdə faktlar ata bilərlər.,Jurnalistlər hekayələrinin eyləncəli halə gəlməsin səbəb ola müəyyən bir məsələdə faktor atarlarlar.,0.5384615384615384,0.10576923076923077
Onu Ran Min adlı qardaşlığı öldürmüşdü.,Onuram min adı qardaşlığı öldürmüşdü.,0.5,0.07894736842105263
Yarada iki əsas dəyişiklik baş verir.,Yarada iki səs dəyişiklik baş verir.,0.16666666666666666,0.05555555555555555
Komsomol gölü yaxınlığında yerləşən mərkəzdən kifayət qədər aralıda yerləşir.,Qabsomol gölü yaxınqında yeldəşən mərkəzdən kifayət qədər aralda yeldəşir.,0.5555555555555556,0.14473684210526316
Film iki seriyadan ibarətdir.,Film 2 seriyadan ibarətdir.,0.25,0.10714285714285714
Bunun səbəbləri müxtəlifdir.,Bunun səbəbləri müxtəlifdir.,0.0,0.0
Bəyazid taxta keçdikdən sonra İshaq Paşanı yenidən sədrəzəm seçdi.,Beyazid taxta çəstikdən sonra Hesak Paşa nı yenidən Södrəzəm seçdi.,0.6666666666666666,0.16923076923076924
Salar təxəllüsü ilə ruh aləminə uyğun şeirlər yazırdı.,Salar təxəllüsü ilə ruhu aləminə uyğun şeyrlər yazırdı.,0.25,0.03773584905660377
Cavabında kazaklar narazı şəxsləri quyuya ataraq öldürdülər.,Cəvabında qazaklar nərazi şəhsləri quyuya ataraq öldürdülər.,0.5714285714285714,0.0847457627118644
Netflix nədir?,Netflix nədir?,0.0,0.0
Müsabiqədən sonra onu artıq hamı tanımağa başlayır.,müsabiqədən sonra onu artıxamı tanımağa başlayır.,0.2857142857142857,0.06
İnsanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səbəblərdən baş verə bilər.,İnsanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səhəblərdən baş verə bilər.,0.1,0.012048192771084338
Həmin il Yaponiya Misirin müstəqilliyini tanımışdır.,Həmin il Yaponya-Misirin müstəqiliyini tanımışdır.,0.5,0.058823529411764705
Beş uşaq atası idi.,5 uşaq atasaydı.,0.75,0.3888888888888889
Film Türkiyə yazıçısı Nazim Hikmətin eyniadlı əsərinin motivləri əsasında yaradılmışdır.,Film Türkiyə yazısı Nazim Hicmətin yeni adlı əsrinin motivləri əsasında yaradılmışdır.,0.5,0.08045977011494253
Yuxarı axarlarda bataqlaşmış ərazidən axır və suyu dayaz olur.,Yuxarı axarlarda bataklaşmış ərazidən axır və suyu dayaz olur.,0.1111111111111111,0.01639344262295082
Ölkə ərazisindən axan Niger çayının adı ilə adlanır.,Ölkə hər aizisində axan Nijertayının adı ilə adlanır.,0.5,0.13725490196078433
Elə orta məktəbi də həmin kənddə bitirib.,elə orta məştəbi də həmin çənddə bitirib.,0.2857142857142857,0.05
Daha sonra həmin məktəbin direktoru olur.,Daha sonra həmin mətəbin direktoru odur.,0.3333333333333333,0.05
Atası qızına mükəmməl təhsil vermək arzusunda idi.,Atası qızına mükəmmil təhsil vermək arzusundaydı.,0.42857142857142855,0.08163265306122448
Turizm qoruq ətrafındakı bütün ərazilərin inkişafının əsas sahəsidir.,Turizm koruq etrafındakı bütün ərazilər inkişafının əsas sahəsidir.,0.375,0.058823529411764705
Hər yeddi ildən bir keçirilir.,Hər yet deyildən bir çətirilir.,0.6,0.2413793103448276
Qrup artıq fəaliyyətini dayandırmışdır.,Grup artıq fəyaliyyətini dayandırmışdır.,0.5,0.05263157894736842
İyunun əvvəlində çiçəkləyir.,İyonun əvvəlində çiçəkləyir.,0.3333333333333333,0.037037037037037035
Bundan sonra isə körpü bərpa edilməmişdir.,Bundan sonra isə çörpü bərpa edilməmişdir.,0.16666666666666666,0.024390243902439025
Dinozavrlar arasında ən uzun boyuna malik imiş.,Dinozaverda arasında ən uzun boyuna mal içilmiş.,0.42857142857142855,0.15217391304347827
Qurultayda Azərbaycanın bütün bölgələrini və tədris müəssisələrini təmsil edən nümayəndələr iştirak edirdilər.,Qurulda idi Azərbaycanın bütün bölgçilərini və tədris məsələlərini təmzilən nümayənilərə iştirak edirdilər.,0.5833333333333334,0.1559633027522936
Ölkə müsabiqədə iştirak etdiyi illər ərzində heç vaxt qalib olmamışdır.,Öyküm savgıya daş trak etdiyi ilə ərsində heç vaxt qalibi olmamışdır.,0.7,0.2571428571428571
Ortada qalan meydançanın iki tərəfini tağlar və onların arxasında yerləşən otaqlar təşkil edir.,Ortada qalan meydan çanın iki tərəfini taqlar və onların arasında yerləşən otaqlar təşkil edir.,0.3076923076923077,0.031914893617021274
Dəmirçilər Tərtər rayonunun eyniadlı inzibati ərazi vahidində kənd.,Demirçilər Tərtər rayonunun eyni adlı inzibati hərəsi vahidində kənd.,0.5,0.07575757575757576
Mağaraların girəcəyində aşkar edilmiş mədəni təbəqə qalıqları onların qədim insan məskənləri olduğunu göstərir.,Mağaraların girecəyində aşqəri edilmiş mədəni təbəqə qalıqları onların qədim insan məsəqənləri olduğunu göstərir.,0.23076923076923078,0.05454545454545454
İlk işi Şabran şəhərini ələ keçirmək oldu.,İlk kişi Şabran şəhərինə ələ keçirmək oldu.,0.2857142857142857,0.04878048780487805
Əli Amir uşaq yaşlarında ailəsi ilə birlikdə İsrailə köç edib.,Ali Amir uşaq yaşlarında ailəsi ilə birlik də İsrayla köç edib.,0.4,0.06557377049180328
Kanalda İngilis və İspan dillərdə proqramlar nümayiş olunur.,Kanalda İngiliz və İspandillərdə programlar nümayəş olunur.,0.625,0.06779661016949153
Təhsilini davam etdirmək istəsə də mümkün olmayıb.,Təhsilini davam etdirmək istəsə də mümkün olmayıb.,0.0,0.0
Cənubi Koreyada.,Canubi xoriyada,1.0,0.2
Müxtəlif illərdə fərqli sahələrdə iş fəaliyyətinə başlayır.,Müxtəlif illərdə fərqili sahələrdə iş fəaliyyətinə başlayır.,0.14285714285714285,0.017241379310344827
Kolbasa tam və ya doğranmış şəkildə servis edilir.,Kalbasa tam və ya doğranmış şəkildə servis edilir.,0.125,0.02040816326530612
Çar ordusunda zabit kimi xidmət etmişdi.,Sar ordusunda zabit kimi xidmət etmişdi?,0.16666666666666666,0.02564102564102564
Adada göl yoxdur.,Atada köl yoxdur.,0.6666666666666666,0.125
Bayraq mərasimi himnin sonu və cavabdeh müəllimin əmri ilə başa çatır.,Bayraq mərasimi imnin sonu və çababdik müəllimin əmriyi də başa çatır.,0.36363636363636365,0.11594202898550725
Orta əsrlərdə geniş yayılmış bu oyun klassik ədəbiyyatımızın nümunələrindən də bəllidir.,"Orta əsrlərdə geniş yayılmış bu oyun, klasik ədəbiyadımızın nümunələrindən də bellidir.",0.2727272727272727,0.04597701149425287
"İngiltərədə nəşr edilmiş bu ""Divan""da məhəbbət lirikası üstünlük təşkil edirdi.",İngiltərədən əşr edilmiş bu divanda möhəbətleri qazı üstünlük təşkil edirdi.,0.4,0.11842105263157894
Gürcüstan hökumət qüvvələri tez bir zamanda Abxaziyanın böyük bir hissəsinə nəzarəti bərpa etdi.,Qürqistan hökumət qüvvələri tez bir zamanda Abxalicənin böyük bir hissəsinə nəzarəti bərqə etdi.,0.23076923076923078,0.09473684210526316
"Bundan başqa Xızır Nəbi ""Aşıq Qərib"" dastanının Azərbaycan versiyasının qəhrəmanıdır.",Bundan başqa xızır nəbi aşıq qərib dasdandanın Azərbaycan versiyasının qəhrəmanıdır.,0.1,0.036585365853658534
Hindistanla Rusiya arasındakı strateji tərəfdaşlıq beş sahəni əhatə edir.,İngistanla Rusiya arasında strategik tərəfdaklı 5 sahəni əhatə edir.,0.5555555555555556,0.1527777777777778
Qəsəbə adını oradakı eyniadlı çayın adından almışdır.,Qəsəbə adını oradakı eynu adlı çayın adından almışdır.,0.2857142857142857,0.038461538461538464
Lena çayın sağ sahilində yerləşir.,Lena çayın sağ xahilində yerləşir.,0.2,0.030303030303030304
Ağstafa rayonunun Muğanlı kəndində dəfn olunub.,Axtafar ayonunun uğanlı kəndində dəfnə olub.,0.8333333333333334,0.17391304347826086
Bir oğul övladı var.,Bir oğul vladivar.,0.5,0.15789473684210525
Əsasən qar suları və yeraltı sularla qidalanır.,əsasən qar suları və yeraltı sularla qidalaqır.,0.14285714285714285,0.021739130434782608
Humanizm tərəfdarı deyildi.,umarizm tərəfdarı deyibdir.,0.6666666666666666,0.15384615384615385
Əsasən dağlıq ərazidir.,SAC daxiləq ərazik.,1.0,0.45454545454545453
İmişli şəhərində dəfn olunub.,imişli şəhərində dəfin olunub.,0.25,0.03571428571428571
Həmin dövrdən indiyədək Heydər Əliyev adına Saraya ləyaqətlə rəhbərlik edir.,"Amin dövrdən indiyana deyil, Heydərəliyə Vadnəsaraya ləyaqətlərəhbərliyidir.",0.9,0.28
Hər iki xəstəliyi aradan qaldıra bildi.,Hər iki xəstəliyi aradan qaldırabildi.,0.3333333333333333,0.02631578947368421
Şəhər alim və ixtiraçı Nikola Teslanın doğulduğu yerdir.,Şəhər alim və ixtirahatlı Nikola Tesvanın doğulduğu yeridir.,0.375,0.10909090909090909
Və Braziliyanın ən böyük futbol klublarından biri hesab olunur.,və brasiliyanın ən böyük futbol klublarından biri hesab olunur.,0.1111111111111111,0.016129032258064516
Hazırda xarabalıqları qalır.,Hazırda xarabalıqlar qalıb,0.6666666666666666,0.07407407407407407
Daun sindromu ilə doğulan uşaqlarla erkən məşğul olmaq lazımdır.,Down syndrome ilə doğulan şöxlərinə ərkən məşğul olmaq lazımdır.,0.4444444444444444,0.19047619047619047
Salyan rayonunun Sarvan inzibati ərazi vahidində kənd.,Saliyan rayonunun sarvan incibati ərazi vahidində çəndir.,0.42857142857142855,0.09433962264150944
Şaxtalı aylarda sahil ərazilər donur.,Şəxdalı aylarda sahil ərazlələr donur.,0.4,0.1111111111111111
Siyasi mövzularda bir neçə kitabın müəllifidir.,Siyasi mövzularda bir nəcə kitabın müəllifləridir.,0.3333333333333333,0.10869565217391304
İon kristallarda meydana gəlir.,İon qırıst dallarda məydana gəlir.,0.75,0.2
Göl Balıqçılıq üçün əlverişlidir.,Gölb balatılxı üçün əlverişlidir.,0.5,0.1875
Şuşada doktor Mirzə Hüseyn bəy kimi tanınırdı.,Şüşa da doktor Mərdə Hüseyn bəy kimi tanınırdı?,0.42857142857142855,0.08888888888888889
Bir müddət kikboksinq və futbol ilə məşğul oldu.,Bir müddət kib bossing king və futbol ilə məşğul oldu.,0.375,0.19148936170212766
Uzun qara geyimləri və quru bir atı vardır.,Uzun qara qeymləri və quru bir adı vardır.,0.25,0.07142857142857142
Bütün işlər barışıq hakimi tərəfindən təkbaşına həll edilirdi.,Bütün müşlər qarışıq hakimək tərəfindən tək başına hələdilirdi.,0.75,0.14754098360655737
Komanda yoldaşları bunun Oliverin mübarizə aparmaq üsulu olduğunu düşünürlər.,O manda yoldaşları bunun oluverəm və bazəri aparmak usulü olduğunu düşünürlər.,0.7777777777777778,0.19736842105263158
Nuri bəy bu ilk cəhdindən böyük qazanc əldə etdi.,Nöru bəyi bu ilk çəndindən böyük qazanç əldə edir.,0.5555555555555556,0.16666666666666666
Qurdlar camaatının bir tirəsinin adı idi.,Qurdlar cəmatının bir tərəsinin adı idi.,0.3333333333333333,0.075
Saray kompleksi İran Mədəni İrs Təşkilatı tərəfindən idarə olunur.,Saray kompleksi İran Mədəni İFS təşkilatı tərəfindən idarə olunur.,0.1111111111111111,0.015384615384615385
Vətən müharibəsi başlayır.,Vətən qaribəsi başlayır.,0.3333333333333333,0.12
Virus qaraciyərdə və qanda tapılar.,Virus qara ciğerdə və qanda taplar.,0.6,0.11764705882352941
Ərazisində çöl bitkiləri üstünlük təşkil edir.,Eraycısında çöl bitkiləri üstünlük təşkil edir.,0.16666666666666666,0.13333333333333333
Hərbi xidmətini başa vurduqdan sonra Abbasov Mingəçevir şəhərində elektrik quraşdırma idarəsində çalışıb.,Hər bir xidmətini başa vurduqdan sonra Abbasov Mingəkəvir şəhərində elektrik quraşdırma idarəsində çalışıb.,0.25,0.038461538461538464
Günəş Yerə ən yaxın ulduzdur.,Günəş yeri ən yaxın ulduzdur.,0.2,0.03571428571428571
Elşən Salayev Vətən Müharibəsində qəhrəmancasına şəhid olmuşdur.,Enşən Salayev vətən müharibəsində qəhrəmancasına şəhid olmuşdur.,0.14285714285714285,0.015873015873015872
Quyruğu qısa olur.,Quyruğu qısa olur.,0.0,0.0
Mahmud ailənin yeganə oğul övladı olmuşdur.,Mahmud haylənin yegani oğul evladı olmuşdur.,0.5,0.09523809523809523
Kənd təsərrüfatı ərazilərinin boz meşə və açıq boz torpaqlar təşkil edir.,Kənd təsərfatı hərəzilərinin boz meşəri və açıq topraqları təşkil edir.,0.45454545454545453,0.18055555555555555
Bunlara ilk növbədə təbii şəraitdə baş verən proseslər üzərində fasiləsiz müşahidələrin aparılması aiddir.,Bunlara ilk növbədə təbiə şərəətdə baş verən proseslər üzərində fəsidəsiz müşahidələrin aparılması aittir.,0.3076923076923077,0.06666666666666667
İndi həmin qədim yolla dəmir yolu xətti çəkilmişdir.,İndi həmin qətim yolla təmək yolu xətti çəkilmişdir.,0.25,0.0784313725490196
Böyük İskəndərin çatdığı ən son bölgə olduğu təxmin edilir.,Böyük İskəndərin çatda da ən son bölgə oldugu təhmin edilir.,0.4444444444444444,0.10344827586206896
İlk boyu şaxta müşahidə edilir.,il boyu şəxdə müşahidə edilir.,0.4,0.13333333333333333
Qalaktika topaları qalaktikalar daxilindəki ulduz quruluşları olan ulduz topaları ilə qarışdırılmamalıdır.,Qalaktika toqları qalaktikalar daxilindəki ulduz qırışları olan ulduz sopa ilə qarışdırılmamalıdır.,0.2727272727272727,0.10476190476190476
Avropanın ticarətlə məşğul olan dairələri Yaxın Şərqdəki mühüm strateji məntəqələri əldə etməkdə maraqlı idilər.,Avropanın tizərətlə məşğul olan təhliləri yaxın şəkdəki mühüm strateji məntəqələri əldə etməkdə maradır bilirlər.,0.35714285714285715,0.13513513513513514
Bir neçə il sonra ölkəsinə geri dönməsinə icazə verildi.,Bir nəsəyəri sonra ölkəsində geri dönməsinə icazı verildi.,0.4444444444444444,0.14545454545454545
Kəndin adı onun coğrafi mövqeyini əks etdirir.,Kəndin adı onuncağadı mövbiyyəni əkşətdirir.,0.7142857142857143,0.26666666666666666
London işçi ailəsindən gəlirdi.,London işçi ailesindən gəlirdi.,0.25,0.03333333333333333
Hər ikisi sağda olan alay geri çəkilməyə başladı.,Hər ikisi sağda olan alay geri çəkilməyə başladı.,0.0,0.0
Öz zəhməti ilə Fransızca öyrəndi.,öz zəhməti ilə fransız öyrəndi.,0.2,0.0625
Atası Qustav oğlunu futbolçu kimi görmək istəyirdi.,Atası Ustab oğunu rıbbolcuqcim görməkdə eləyirdir.,0.8571428571428571,0.32
Şəhərin mərkəzi hissəsi Perl çayının sağ sahilində yerləşir.,Şəhərin məkəsi hissəsi pəyiril sayının sağ sayında yerləşir.,0.5,0.2033898305084746
Buna görə rayonu bir neçə hissəyə bölmək məcburi olmuşdu.,Həcəri ayağını bir nəsə hissəyə bilmək nəzbülü olmuşdu.,0.6666666666666666,0.375
Bu teatrın əsas vəzifəsi fəhlələr və kasıblar arasında bolşevik təbliğatı aparmaq olmuşdur.,Bu teatr nəsəzlədik həsli pəhlədələr və kasıqlar arasında bol şey bir təbrikat aparmaq olmuşdur.,0.75,0.25555555555555554
Təlim mərkəzlərindən birinə edilən sirli hücumun ardından iki ən yaxşı döyüşçü tədqiqata başlayır.,Təlim məkəzlərindən birinə edilən sirli hücumun ardından iki ən yaxşı döyüşü təlqiqatə başlayır.,0.23076923076923078,0.041237113402061855
Orta təhsilini Ağdam rayonunda alıb.,Orta təhsilini ağda mürayonunda alıb.,0.4,0.05714285714285714
Estetik mənada konkret təbiət gözəllikləri ümumən yenə gözəl bir qadınla birlikdə təqdim edilir.,Estetik mənada konkret təbiyyət güzellikləri ümumən yenə güzəl bir qadınla birlikdə təqdim edilir.,0.23076923076923078,0.05263157894736842
Strabon özünün məşhur Tarix əsərində də Abxaziya ərazisi və orada yaşayan xalqlar barədə yazmışdı.,Starbom özünün məşhur tarix həsərində Avqaziya əlazisi və orada yaşayan haqqlar barədə yazmışdı.,0.42857142857142855,0.12371134020618557
Sovet mədəniyyət və incəsənət nümayəndə heyətinin tərkibində Amerika və Afrika ölkələrində olmuşdur.,Sovyet mədəniyyət və indi sanət müəyyənində həyatının təcrübində Amerikalı və Afrika ölçələrində olunmuşdur.,0.75,0.2222222222222222
Diplomunu aldığı zaman casusluq vəzifəsinin hissəsi olan bir əmr altında Moskvanı tərk etdi.,"Dipinimi aldığı zaman, casusluk vəzifəsinin hissəsi olan bir əmrə altında Moskvani tərk etdi.",0.3076923076923077,0.0989010989010989
Alimin rəhbərliyi ilə onlarla elmlər namizədi hazırlanmışdır.,Ademin rəhbərdiyə ilə onlarla elminərin amizədə hazırlanmışdır.,0.5714285714285714,0.15
Körpünün yerləşdiyi Qarabağ məhəlləsi Zəngəzur mahalından qaçıb bura gələnlərin adı ilə adlanıb.,Körpünün yerləşdiyi qarabaq mühəlləsi Zənqizul mühallinundan qaçıb bura gələnlərin adı ilə adlanıb.,0.3333333333333333,0.10526315789473684
Çimərlik ərazidə Kanadanın ən uzun hovuzu yerləşir.,"İtməliç, arazide kanadanın ən uzun poluzu yerləşir.",0.42857142857142855,0.16
Çünki o yoxdur.,Çünki o yoxdur.,0.0,0.0
Bəzi televiziya sənədli filmlərinin məsləhətçisi idi.,Bazı televiziya sanatlı film learning masaləti səyidə,1.0,0.38461538461538464
Göldə mülayim iqlim şəraiti hökm sürür.,"Güldüm, ləyim ilim şəraitə üçünsüzür.",1.0,0.34210526315789475
Goranboy rayonu Fəxralı kənd tam orta məktəbi şəhid Teymur Sadıqovun adını daşıyır.,Cüromba ilə yanıb fəxralı kəntam oda məktəbi Şəhid Temür salıq obun adına daşıyır.,0.8333333333333334,0.2804878048780488
Rəhbərlik öz siyasətində və iqtisadiyyatında dəyişikliklər tələb etdi.,Rahberlik öz siyasətində və ekstrasiyadında daiyişik lüsüdürlər talib etdi.,0.625,0.30434782608695654
Sadalanan üsullardan savayı ermənilər Vaşinqtonda təsir qrupları da yaratmağa nail olurlar.,Sədalanan üsullardan savaya ermənlər və əşkıdonda təsir qurupları yaratmaq anlayılırlar.,0.9090909090909091,0.24444444444444444
